Temparature,Humidity,Moisture,Soil Type,Crop Type
29.8,65.49,61.86,Sandy,Cotton
40,61.65,27.12,Red,Ground Nuts
29.2,62.74,46.45,Black,Maize
35.08,55.2,65.28,Red,Tobacco
26.46,63.81,50.64,Sandy,Tobacco
27.05,62.62,35.54,Loamy,Millets
24.98,62.27,48.83,Clayey,Maize
30.73,64.04,58.01,Black,Cotton
38.05,68.85,57.68,Black,Wheat
32.47,67.69,65.89,Loamy,Wheat
33.86,54.7,28.74,Sandy,Ground Nuts
31.07,61.96,50.7,Sandy,Tobacco
34.71,54.61,40.22,Clayey,Sugarcane
37.76,58.09,57.42,Loamy,Ground Nuts
35.18,74.22,33.33,Sandy,Wheat
29.31,62.5,47.47,Red,Ground Nuts
27.15,60.37,37.43,Red,Wheat
25.93,53.67,42.39,Clayey,Paddy
30.13,48.9,67.41,Loamy,Paddy
37.89,61.9,29.68,Loamy,Cotton
32.93,68.18,34.78,Sandy,Tobacco
31.28,61.86,62.26,Black,Maize
28.76,40.17,64.52,Sandy,Millets
23.56,43.25,20,Black,Cotton
27.83,49.73,58.42,Clayey,Millets
22.65,53.84,38.27,Sandy,Sugarcane
30.17,60.55,43.86,Clayey,Sugarcane
34.6,69.2,49.03,Clayey,Millets
24.45,57.16,37.8,Black,Barley
26.81,59.31,70,Red,Oil seeds
26.37,62.64,41.83,Clayey,Ground Nuts
36.73,55.27,32.64,Loamy,Sugarcane
28.61,53.73,50.17,Clayey,Millets
33.97,70.45,35.84,Sandy,Sugarcane
31.01,70.62,28.39,Sandy,Pulses
32.51,57.48,30.67,Sandy,Sugarcane
37.75,55.56,50.84,Red,Tobacco
29.18,45.12,49.86,Clayey,Ground Nuts
39.61,73.34,50.25,Sandy,Oil seeds
28.4,58.17,39.15,Red,Paddy
34.28,67.15,39.35,Red,Paddy
31.35,59.91,24.9,Black,Sugarcane
32.56,55.34,46.86,Sandy,Millets
32.1,57.13,37.58,Clayey,Pulses
34.65,63.66,47.3,Clayey,Millets
30.12,51.7,31.85,Loamy,Millets
37.03,72.04,29.53,Loamy,Ground Nuts
30.58,56.52,48.44,Sandy,Tobacco
31.32,56.57,40.22,Sandy,Tobacco
33.03,66.07,33.81,Red,Cotton
32.53,62.34,30.4,Clayey,Sugarcane
26.58,42.83,35.09,Sandy,Oil seeds
29.13,73.22,52.98,Black,Sugarcane
28.23,56.74,28.06,Clayey,Sugarcane
36.2,64.43,57.43,Black,Tobacco
23.37,45.91,67.84,Sandy,Sugarcane
40,53.38,47.05,Red,Oil seeds
26.83,54.4,41.76,Loamy,Sugarcane
33.02,65.44,50.47,Loamy,Wheat
29.16,53.59,60.85,Sandy,Pulses
31.59,71.2,27.7,Black,Paddy
33.15,58.53,32.29,Loamy,Sugarcane
26.27,48.43,36.14,Loamy,Maize
35.1,61.71,41.61,Red,Cotton
24.59,47.16,21.81,Clayey,Barley
29.4,52.91,43.18,Black,Pulses
