Temparature,Humidity,Moisture,Soil Type,Crop Type
33.03,66.47,60.26,Red,Cotton
23.14,56.97,42.97,Black,Paddy
28.49,50.95,61.26,Clayey,Oil seeds
24.44,51.85,42.54,Black,Wheat
30.4,59.17,62.79,Red,Ground Nuts
31.12,77.29,39.51,Clayey,Paddy
30.64,63.54,56.5,Red,Maize
30.29,72.81,52.72,Black,Ground Nuts
30.73,69.57,52.05,Black,Ground Nuts
36.18,60.7,35.67,Loamy,Wheat
26.01,58.47,25.34,Black,Cotton
31.6,67.29,67.06,Clayey,Maize
36.17,72.76,41.81,Sandy,Tobacco
33.49,67.08,35.44,Sandy,Sugarcane
39.7,66.38,45.01,Clayey,Ground Nuts
36.31,73.36,38.36,Red,Oil seeds
31.62,57.89,39.02,Clayey,Barley
31.73,54.97,64.26,Black,Cotton
28.66,59.28,48.06,Loamy,Maize
30.64,58.08,26.84,Loamy,Tobacco
37.76,71.09,43.07,Red,Ground Nuts
33.85,61.06,68.59,Loamy,Pulses
34.95,62.41,33.09,Clayey,Oil seeds
24.25,54.71,65.01,Red,Sugarcane
27.1,62.84,62.37,Black,Maize
28.94,57.14,30.57,Black,Barley
31.81,70.43,57.66,Loamy,Sugarcane
28.93,58.65,20,Loamy,Sugarcane
20.41,46.34,20,Loamy,Paddy
30.42,61.15,43.96,Clayey,Oil seeds
30.24,71.18,28.39,Black,Cotton
26.18,52.68,52.49,Clayey,Maize
26.92,49.33,52.14,Clayey,Pulses
31.43,58.06,40.83,Sandy,Maize
37.46,67.14,36.94,Sandy,Tobacco
34.35,55.08,28.84,Sandy,Pulses
27.76,70.78,43.94,Loamy,Wheat
33.2,61.27,28.29,Loamy,Oil seeds
30.69,63.98,42.43,Sandy,Sugarcane
30.14,64.68,59.96,Sandy,Sugarcane
22.78,51.18,70,Black,Ground Nuts
29.17,66.03,46.22,Red,Oil seeds
33.24,68.84,58.57,Sandy,Cotton
37.13,57.04,63.93,Sandy,Oil seeds
28.43,54.4,36.47,Sandy,Wheat
32.73,60.24,44.34,Loamy,Wheat
35.64,65.52,26.3,Loamy,Sugarcane
36.01,73.09,57.84,Clayey,Millets
29.78,56.76,51.66,Loamy,Tobacco
25.96,58.08,31.11,Red,Sugarcane
29.97,66.26,65.15,Black,Pulses
28.54,44.95,44.12,Sandy,Pulses
25.75,44.84,61.62,Black,Maize
30.71,62.97,46.49,Loamy,Paddy
30.3,65.41,62.34,Loamy,Millets
30.6,53.91,34.29,Sandy,Millets
27.59,50.67,65.48,Clayey,Oil seeds
36.18,77.72,29.51,Sandy,Cotton
24.76,66.01,33.21,Loamy,Paddy
33.83,53.28,46.07,Loamy,Sugarcane
32.95,47.94,29.06,Red,Maize
29.43,72.23,62.55,Sandy,Sugarcane
24.91,47.76,39.44,Loamy,Ground Nuts
35.11,64.06,54.89,Clayey,Wheat
26.55,45.87,28.29,Loamy,Sugarcane
24.91,52.61,26.29,Red,Cotton
37.28,60.14,55.66,Black,Oil seeds
33.86,58.35,43.35,Sandy,Sugarcane
25.88,57.33,31.38,Clayey,Oil seeds
31.8,58.18,56.23,Red,Maize
32.57,74.55,66.3,Loamy,Millets
30.45,58.6,50.65,Sandy,Barley
38.32,66.46,54.06,Clayey,Barley
27.94,53.62,29.48,Loamy,Wheat
27.79,67.17,27,Sandy,Ground Nuts
26.1,59.75,42.28,Clayey,Paddy
22.3,49.05,68.42,Loamy,Cotton
31.46,61.7,26,Black,Ground Nuts
29.15,45.48,44.29,Clayey,Wheat
31.89,58.53,38.83,Loamy,Paddy
26.62,60.59,21.88,Sandy,Barley
33.07,75.97,55.05,Black,Ground Nuts
37.36,62.5,53.31,Sandy,Wheat
21.51,50.09,32.94,Red,Maize
33.64,72.94,60.39,Sandy,Ground Nuts
29.71,61.87,54.45,Sandy,Sugarcane
21.84,58.79,53.97,Loamy,Maize
24.82,48.36,32.63,Red,Paddy
23.69,51.88,45.1,Loamy,Ground Nuts
29.45,57.06,52.39,Sandy,Paddy
36.82,59.9,37.21,Black,Paddy
21.82,45.06,32.09,Red,Cotton
24.72,53.8,54.35,Red,Ground Nuts
28.16,63.93,44.75,Clayey,Tobacco
32.9,59.42,57.62,Black,Millets
34.05,70.64,40.72,Clayey,Cotton
28.19,64.77,65.2,Sandy,Millets
26.97,65.25,21.35,Red,Sugarcane
33.2,73.6,53.85,Sandy,Sugarcane
34.76,73.32,59.45,Black,Barley
35.09,61.52,60.88,Black,Paddy
40,70.47,54.47,Clayey,Pulses
33.24,58.1,55.98,Sandy,Barley
33.77,62.95,47.13,Red,Pulses
27.77,54.87,39.6,Loamy,Ground Nuts
36.98,63.67,54.3,Red,Millets
24.26,49.84,30.21,Sandy,Barley
37.53,70.73,37.05,Loamy,Sugarcane
29.47,55.77,44.27,Red,Tobacco
27.32,63.12,22.92,Clayey,Cotton
37.86,58.44,55.05,Red,Oil seeds
27.18,65.88,42.06,Clayey,Wheat
27.6,58.3,56.77,Loamy,Ground Nuts
34.44,71,29.79,Loamy,Sugarcane
35.13,56.04,35.97,Sandy,Paddy
26.62,54.93,36.24,Loamy,Sugarcane
35.15,68.47,44.92,Clayey,Wheat
22.57,49.51,27.81,Loamy,Ground Nuts
25.17,46.44,37.04,Black,Barley
32.35,71.84,33.21,Clayey,Millets
27.51,71.11,49.17,Loamy,Paddy
23.8,61.91,42.75,Loamy,Ground Nuts
38.66,73.97,66.46,Loamy,Cotton
32.18,68.06,59.24,Clayey,Wheat
30.31,61.48,37.51,Black,Maize
29.18,54.42,35.54,Loamy,Pulses
35.96,58.63,40.76,Red,Pulses
39.45,64.39,43.62,Clayey,Sugarcane
27.51,65.29,33.53,Red,Millets
26.15,52.69,49.11,Sandy,Ground Nuts
29.88,54.42,65.71,Clayey,Ground Nuts
30.23,73.9,61.14,Red,Ground Nuts
26.15,51.15,60.56,Sandy,Sugarcane
37.54,62.31,37.71,Loamy,Oil seeds
28.85,45.37,49.17,Black,Cotton
35.64,58.51,30.22,Sandy,Oil seeds
35.76,72.58,44.43,Red,Oil seeds
31.51,68.14,52.98,Sandy,Pulses
34.32,72.1,42.27,Sandy,Ground Nuts
32.34,67.4,31.24,Red,Wheat
28.94,44.59,41.6,Red,Oil seeds
29.27,48.14,55.71,Black,Paddy
25.21,65.01,49.34,Clayey,Tobacco
36.39,57.79,35.1,Clayey,Pulses
30.86,50.54,33.84,Loamy,Oil seeds
32.73,73.02,33.9,Black,Paddy
31.05,58.8,59.36,Loamy,Ground Nuts
31.7,51.03,48.18,Loamy,Paddy
27.44,55.75,27.49,Red,Pulses
24.79,54.34,46.13,Clayey,Oil seeds
34.05,74.82,66.24,Red,Ground Nuts
30.87,55.7,69.78,Loamy,Millets
32.12,61.45,49.19,Sandy,Cotton
29.63,55.16,68.27,Loamy,Paddy
24.08,47.59,39.13,Clayey,Tobacco
31.51,64.47,59.18,Sandy,Barley
31.78,53.53,40.68,Loamy,Pulses
30.64,62.44,50.79,Red,Millets
26.9,60.69,37.88,Red,Millets
38.72,73.5,49.78,Loamy,Barley
30.44,62.02,31.71,Clayey,Millets
37.48,61.89,62.39,Sandy,Cotton
34,62.86,45.13,Clayey,Sugarcane
30.48,58.07,30.84,Sandy,Paddy
37.98,68.23,38.81,Clayey,Pulses
25.71,51.45,32.95,Red,Maize
36.8,64.17,60.56,Clayey,Pulses
32.03,62.83,20,Black,Paddy
26.74,63.11,41.43,Sandy,Maize
22.55,58.99,43.67,Loamy,Oil seeds
35.78,52.73,32.13,Sandy,Sugarcane
24.42,56.1,47.1,Red,Wheat
