Temparature,Humidity,Moisture,Soil Type,Crop Type
39.26,60.36,29.14,Loamy,Maize
31.29,59.62,56.81,Sandy,Oil seeds
32.1,50.44,47.36,Red,Pulses
28.35,59.56,34.46,Red,Pulses
26.57,54.52,46.1,Black,Wheat
40,77.35,41.55,Sandy,Ground Nuts
37.24,59.64,30.67,Red,Ground Nuts
28.4,57.3,49.24,Clayey,Sugarcane
33.83,56.31,25.41,Sandy,Maize
27.47,58.13,56.8,Black,Tobacco
32.01,56.9,39.16,Red,Sugarcane
23.69,59.77,47.95,Clayey,Pulses
30.22,60.34,59.66,Black,Paddy
25.24,46.57,36.23,Loamy,Maize
26.8,60.69,60.28,Loamy,Wheat
32.37,56.56,65.45,Sandy,Ground Nuts
23.86,55.45,24.43,Loamy,Millets
34.18,58.31,46.39,Sandy,Maize
39.42,76.38,57.33,Black,Maize
24.86,54.46,36.36,Clayey,Millets
32.95,62.26,50.04,Sandy,Paddy
29.78,59.94,29.17,Sandy,Pulses
27.48,60.62,44.8,Black,Sugarcane
36.73,71.35,70,Black,Sugarcane
27.49,63.32,26.02,Red,Pulses
30.69,59.81,37.29,Loamy,Oil seeds
29.14,58.46,36.98,Loamy,Barley
32.52,57.58,57.94,Clayey,Maize
23.05,52.61,60.11,Black,Tobacco
29.48,60.63,42.23,Clayey,Ground Nuts
25.33,53.26,27.11,Red,Pulses
26,57.01,31.36,Loamy,Oil seeds
30.09,62.9,44.53,Red,Sugarcane
27.83,53.2,58.73,Loamy,Pulses
37.81,73.97,40.95,Black,Maize
36.87,61.5,54.95,Loamy,Tobacco
30.98,66.44,29.27,Sandy,Cotton
30.41,52.79,24.79,Red,Paddy
35.69,58.61,58.14,Red,Maize
23.11,53.38,41.79,Black,Millets
23.82,59.74,65.58,Black,Tobacco
34.2,72.31,28.33,Black,Tobacco
34.22,74.96,58.79,Red,Oil seeds
36.98,73.11,41.32,Clayey,Paddy
34.68,76.53,33.78,Black,Millets
24.22,50.03,55.39,Clayey,Barley
34.25,73.29,38.06,Loamy,Oil seeds
31.43,64.88,54.37,Sandy,Barley
31.14,61.27,45.36,Black,Barley
24.69,54.86,47.9,Black,Ground Nuts
30.39,67.95,35.69,Sandy,Wheat
28.44,46.2,34.75,Clayey,Millets
30.6,56.63,35.82,Black,Pulses
25.64,56.54,49.67,Red,Maize
33.35,59.4,66.69,Loamy,Pulses
23.15,58.66,63.44,Loamy,Pulses
34.48,70.08,59.13,Clayey,Pulses
28.39,51.27,70,Clayey,Ground Nuts
39.9,73.93,32.55,Black,Wheat
32.98,58.76,28.59,Clayey,Cotton
29.66,49.78,23.81,Black,Ground Nuts
30.69,58.35,21.33,Black,Ground Nuts
23.98,48.21,35.49,Black,Maize
28.52,72.19,59.12,Clayey,Tobacco
31.01,60.4,43.04,Clayey,Millets
27.53,47.05,22.75,Clayey,Cotton
36.9,52.23,24.84,Black,Oil seeds
29.16,61.51,34.35,Black,Sugarcane
27.28,53.81,39.02,Sandy,Ground Nuts
33.4,58.26,40.56,Red,Barley
31.02,54.58,45.71,Red,Barley
24.23,64.12,49.89,Loamy,Oil seeds
21.96,40.71,40.64,Clayey,Oil seeds
34.33,69.34,32.53,Loamy,Maize
30.88,66.31,38.96,Clayey,Maize
21.52,61.31,30.52,Loamy,Ground Nuts
29.67,64.78,21,Black,Barley
30.52,62.11,23.07,Black,Pulses
26.59,52.55,41.35,Sandy,Maize
32.62,59.63,50,Clayey,Oil seeds
32.95,59.16,69.03,Clayey,Cotton
28.56,43.97,24.88,Loamy,Tobacco
35.74,66.71,37.68,Sandy,Pulses
26.35,50.4,53.76,Black,Tobacco
33.8,70.5,42.98,Sandy,Cotton
28.08,58.23,37.23,Clayey,Tobacco
32.56,71.98,46.27,Loamy,Wheat
29.64,49.17,34.47,Clayey,Wheat
31.55,58.9,47.7,Sandy,Ground Nuts
35.51,53.67,32.47,Clayey,Pulses
33.2,60.31,55.18,Black,Paddy
23.28,48.32,43.9,Red,Paddy
