Temparature,Humidity,Moisture,Soil Type,Crop Type
26.19,63.76,35.68,Red,Millets
25.14,48.37,28.64,Black,Millets
38.41,74.99,25.39,Black,Maize
29.57,70.26,37.15,Red,Millets
33.72,54.21,47.29,Red,Oil seeds
33.3,57.9,57.26,Black,Pulses
29.6,58.3,44.4,Clayey,Wheat
27.83,60.88,29.59,Red,Sugarcane
24.31,49.48,27.55,Red,Millets
31.77,46.28,45.72,Red,Cotton
28.65,59.24,40.45,Clayey,Barley
30.23,72.24,57.55,Red,Cotton
23.86,56.94,45.96,Black,Paddy
24.03,59.41,55.3,Sandy,Cotton
32.86,54.42,41.19,Red,Ground Nuts
31.58,60.79,41.51,Sandy,Barley
29.38,67.36,40.79,Black,Tobacco
34.45,66.86,35.97,Black,Maize
29.34,42.41,44.03,Clayey,Tobacco
40,62.24,42.28,Loamy,Pulses
31.51,63.07,38.77,Loamy,Ground Nuts
27.67,45.92,36.55,Loamy,Sugarcane
28.12,45.77,43.16,Sandy,Ground Nuts
30.04,45.43,37.77,Black,Maize
28.79,73.96,35.13,Clayey,Wheat
31.74,63.18,24.75,Loamy,Maize
36.76,59.74,39.36,Black,Wheat
26.29,47.4,68.32,Black,Pulses
25.37,50.94,25.52,Black,Sugarcane
25.49,59.63,68.9,Red,Barley
28.88,55.01,36.26,Red,Pulses
34.53,58.86,52.25,Black,Oil seeds
29.73,44.95,36.64,Clayey,Sugarcane
30.05,59.14,39.13,Red,Ground Nuts
30.67,61.01,35.65,Clayey,Oil seeds
24.3,53.62,60.71,Clayey,Sugarcane
37.7,56.61,57.93,Loamy,Wheat
27.09,48.1,39.39,Clayey,Ground Nuts
28.02,43.47,37.43,Black,Sugarcane
34.62,64.2,39.87,Sandy,Millets
33,72.49,26.85,Loamy,Millets
37.48,74.71,50.16,Sandy,Wheat
40,80,55.43,Clayey,Paddy
33.47,62.71,36.43,Loamy,Sugarcane
24.91,47.48,32.77,Black,Pulses
30.89,57.6,53.41,Sandy,Maize
25.22,53.11,39.07,Red,Tobacco
30.68,66.46,37.19,Red,Sugarcane
27.33,64.51,61.53,Sandy,Millets
29.96,54.53,67.99,Black,Ground Nuts
32.99,50.56,44.4,Clayey,Sugarcane
36.5,76.58,69.11,Sandy,Oil seeds
24.59,51.79,70,Black,Paddy
28.14,64.83,42.85,Loamy,Wheat
31.92,57.22,51.32,Black,Millets
36.21,57.4,64.18,Black,Oil seeds
29.54,58.68,37.33,Black,Paddy
37.62,54.26,47.98,Red,Sugarcane
23,53.85,26.32,Clayey,Cotton
33.55,58.99,28.88,Loamy,Paddy
25.2,54.36,56.57,Black,Barley
28.1,57.31,69.25,Sandy,Millets
26.32,61.03,28,Black,Oil seeds
36.26,72.92,70,Red,Barley
36.08,67.07,39.77,Loamy,Cotton
26.61,51.72,36.01,Red,Ground Nuts
22.55,57.45,46.58,Red,Paddy
35.44,68.66,47.39,Loamy,Wheat
31.47,64.11,65.21,Black,Sugarcane
23.45,48.04,34.71,Loamy,Sugarcane
32.95,47.81,36.46,Sandy,Cotton
35.89,69.26,56.39,Sandy,Tobacco
32.33,75.18,40.55,Black,Sugarcane
38.98,58.36,50.55,Red,Tobacco
33.44,62.95,26.99,Clayey,Pulses
25,43.01,70,Sandy,Maize
29.95,70.97,49.89,Loamy,Tobacco
28.47,63.69,51.32,Black,Cotton
37.78,67.61,42.9,Loamy,Tobacco
