Temparature,Humidity,Moisture,Soil Type,Crop Type
30.24,57.35,39.81,Black,Maize
30.01,48.4,35.35,Clayey,Cotton
34.19,69.83,62.1,Sandy,Paddy
32.25,50.03,66.47,Clayey,Cotton
33.16,66.73,50.78,Loamy,Maize
37.12,70.82,39.36,Black,Millets
32.23,69.85,66.56,Black,Ground Nuts
38.56,68.08,57.75,Sandy,Paddy
27.12,58.16,22.74,Black,Cotton
24.73,51.53,26.69,Loamy,Wheat
29.05,63.39,46.94,Loamy,Wheat
28.36,52.45,31.86,Red,Pulses
37.97,57.61,56.51,Loamy,Wheat
31.75,49.36,57.18,Clayey,Wheat
39.48,79.62,45,Red,Maize
31.73,51.04,30.08,Loamy,Tobacco
32.2,72.21,60.57,Loamy,Barley
33.52,56.48,24.69,Sandy,Wheat
35.4,66.88,56.01,Clayey,Pulses
28.75,56.3,63.61,Sandy,Millets
27.28,44.46,51.74,Clayey,Oil seeds
33.78,69.12,20.23,Loamy,Ground Nuts
28.26,60.74,38.67,Red,Ground Nuts
32.33,64.89,54.65,Loamy,Ground Nuts
39.82,68.1,26.42,Red,Paddy
23.86,58.39,20.05,Loamy,Oil seeds
22.59,56.96,27.15,Red,Barley
25.76,66.93,23.29,Red,Ground Nuts
24.38,52.1,61.63,Black,Wheat
24.99,61.19,45.63,Black,Sugarcane
26.32,57.42,33.27,Clayey,Pulses
25.92,59.83,38.31,Red,Sugarcane
35,75.25,35.02,Loamy,Sugarcane
26.66,68.27,47.59,Sandy,Barley
20.3,54.28,45.3,Red,Pulses
25.23,45.43,37.13,Black,Cotton
30.71,56.46,43.4,Clayey,Ground Nuts
33.8,58.42,63.96,Clayey,Sugarcane
25.47,48.38,36,Black,Millets
26.75,60.71,69.47,Red,Oil seeds
31.97,52.19,32.94,Black,Oil seeds
30.06,63.8,35.07,Red,Maize
25.45,53.33,23.38,Loamy,Oil seeds
38.04,64.69,48.58,Clayey,Pulses
40,75.91,41.53,Red,Ground Nuts
26.7,49.6,42.38,Red,Paddy
30.02,65.59,54.31,Loamy,Barley
30.26,44.92,59.46,Black,Cotton
24.6,42.57,45.33,Clayey,Paddy
30.5,56.85,37.55,Red,Tobacco
33.02,75.26,31.06,Red,Paddy
28.62,46.23,66.04,Red,Millets
29.99,69.45,20,Loamy,Pulses
25.88,62.12,69.37,Black,Maize
30.13,68.83,49.19,Clayey,Tobacco
34.13,72.64,46.55,Black,Tobacco
32.58,55.89,49.25,Red,Oil seeds
31.89,67.32,55.3,Loamy,Maize
32.95,48.92,32.88,Black,Millets
35.37,75.72,32.49,Red,Oil seeds
31.8,60.45,29.67,Black,Barley
26.49,68.8,49.84,Clayey,Millets
38.31,61.97,48.6,Sandy,Cotton
36.93,64.85,47.1,Red,Oil seeds
21.89,47.55,20,Clayey,Cotton
40,75.07,38.95,Clayey,Sugarcane
37.05,69.76,48.65,Black,Tobacco
33.03,57.67,46.12,Clayey,Tobacco
30.6,60.9,57.87,Red,Wheat
32.22,60.78,34.61,Red,Sugarcane
32.77,60.31,32.09,Loamy,Oil seeds
29.89,52.86,50.67,Sandy,Millets
35.93,68.53,36.36,Sandy,Ground Nuts
37.85,64.18,57.45,Sandy,Cotton
24.66,47.81,24.37,Sandy,Ground Nuts
28.48,69.99,27.05,Black,Tobacco
35.25,55.27,39.3,Loamy,Cotton
32.92,51.51,35.47,Black,Pulses
39.3,71.67,43.17,Sandy,Pulses
30.2,43.41,40.91,Black,Oil seeds
32.52,64.65,24.55,Sandy,Sugarcane
26.39,58.76,26.14,Clayey,Sugarcane
29.87,57.28,37.3,Black,Oil seeds
33.84,67.09,53.03,Clayey,Wheat
30.96,55.9,41.09,Red,Wheat
33.1,57.5,42.07,Clayey,Barley
26.16,59.25,36.27,Sandy,Cotton
32.22,68.32,47.1,Sandy,Tobacco
25.96,57.58,55.01,Black,Paddy
29.98,56.89,32.9,Loamy,Maize
26.5,52.28,28.61,Sandy,Ground Nuts
36.91,73.2,33.96,Red,Maize
34,73.7,57.78,Sandy,Maize
27.53,51.5,38.22,Sandy,Tobacco
35.43,50.87,44.74,Loamy,Ground Nuts
32.22,54.23,47.91,Black,Barley
26.65,56.41,66.61,Loamy,Wheat
26.9,42.45,46.23,Loamy,Wheat
30.49,55.56,64.02,Loamy,Wheat
26.99,44.75,36.06,Sandy,Millets
26.11,58.64,22.93,Clayey,Cotton
32.64,56.74,45.11,Red,Tobacco
28.63,63.42,48.86,Sandy,Wheat
22.6,60.21,36.97,Sandy,Wheat
28.97,68.66,31.32,Clayey,Paddy
32.04,68.28,40.21,Red,Paddy
25.6,54.32,31.26,Loamy,Barley
28.9,60.24,35.76,Clayey,Oil seeds
26.66,60.4,30.09,Clayey,Oil seeds
33.83,61.27,70,Sandy,Oil seeds
34.54,63.82,62.84,Clayey,Cotton
28.91,41.55,69.89,Loamy,Oil seeds
36.28,62.7,32.29,Clayey,Oil seeds
25.51,66.21,44.24,Black,Barley
24.4,60.18,37.67,Black,Pulses
32.06,46.96,51.16,Sandy,Maize
40,71.75,46.13,Loamy,Millets
24.3,54.99,32.02,Clayey,Barley
29.47,59.72,59.54,Red,Wheat
36.49,69.41,58.49,Clayey,Ground Nuts
24.26,61.88,65.71,Clayey,Maize
27.6,56.81,32.67,Sandy,Pulses
23.84,61.45,20,Sandy,Pulses
31.05,59.62,35.9,Sandy,Paddy
28.51,55.73,42.73,Red,Millets
36.45,68.49,26.71,Loamy,Maize
29.8,66.69,70,Clayey,Millets
27.41,49.33,22.31,Loamy,Barley
30.29,48.59,52.49,Sandy,Pulses
40,69.41,43.69,Red,Ground Nuts
26.52,49.7,59.42,Loamy,Barley
29.97,57.71,70,Clayey,Pulses
29.01,57.85,40.02,Sandy,Pulses
31.5,53.39,52.53,Black,Paddy
28.83,59.28,49.24,Sandy,Ground Nuts
23.87,61.85,26.36,Sandy,Paddy
36.75,69.93,42.63,Sandy,Millets
34.96,53.85,35.07,Sandy,Sugarcane
32.9,66.62,21.84,Clayey,Millets
24.66,59.3,31.83,Clayey,Cotton
28.78,65.76,64.46,Sandy,Ground Nuts
36.61,57.83,47.58,Sandy,Barley
30.33,61.55,45.94,Sandy,Tobacco
24.68,45.27,47.81,Clayey,Pulses
20.7,52.06,31.55,Red,Cotton
30.81,65.77,45.65,Black,Maize
36.75,74.94,55.55,Loamy,Tobacco
29.68,55.32,30.31,Clayey,Paddy
29.45,51.32,62.42,Loamy,Millets
33.28,70.59,39.69,Black,Barley
28.42,49.48,38.23,Black,Oil seeds
29.18,67.41,29.21,Red,Paddy
35.39,69.31,42.02,Black,Millets
33.12,66.48,41.95,Sandy,Oil seeds
28.27,69.62,65.41,Sandy,Cotton
33.61,68.82,40.58,Clayey,Maize
25.71,55.35,40.7,Clayey,Millets
31.15,66.9,49.75,Sandy,Cotton
23.02,62.92,28.92,Black,Pulses
25.53,52.01,43.54,Clayey,Cotton
29.52,46.94,40.51,Red,Cotton
31.28,59.63,56.79,Clayey,Maize
27.39,58.57,47.88,Black,Pulses
24.97,57.24,56.69,Sandy,Tobacco
34.81,77.03,58.09,Red,Pulses
30.22,68.75,58.39,Sandy,Tobacco
27.95,52.04,60.22,Sandy,Millets
36.68,59.35,46.12,Clayey,Wheat
33.98,50.38,53.63,Sandy,Maize
35.25,65.6,41.85,Red,Cotton
21.87,46.4,37.57,Sandy,Paddy
21.66,44.54,59.31,Black,Wheat
27.7,51.81,52.3,Sandy,Maize
35.18,71.74,59.5,Black,Ground Nuts
31.64,58.28,29.1,Sandy,Maize
30.89,46.85,55.84,Clayey,Pulses
