Temparature,Humidity,Moisture,Soil Type,Crop Type
37.23,75.19,30.93,Sandy,Ground Nuts
28.35,64.21,60.8,Sandy,Tobacco
21.54,44.06,29.56,Loamy,Maize
33.42,58.66,41.67,Clayey,Tobacco
32.22,54.87,69.52,Loamy,Cotton
32.39,62.04,43.21,Black,Paddy
27.02,45.11,48.36,Black,Tobacco
24.06,61.27,35.5,Clayey,Barley
21.63,46.14,40.71,Clayey,Cotton
23.77,56.55,20,Clayey,Barley
21.54,46.95,31.7,Clayey,Paddy
23.2,50.07,39.24,Red,Maize
36.02,60.38,61.57,Loamy,Pulses
34.17,61.19,52.4,Sandy,Oil seeds
22.6,55.01,40.3,Clayey,Cotton
27.44,57.01,28.59,Black,Wheat
25.8,48.06,42.13,Loamy,Cotton
39.49,59.18,34.57,Loamy,Cotton
26.64,53.53,43.92,Clayey,Oil seeds
32.09,75.71,34.53,Sandy,Barley
25.79,48.09,58.09,Sandy,Pulses
24.8,52.55,31.96,Clayey,Barley
33.69,70.29,30.14,Clayey,Pulses
29.34,50.88,56.44,Loamy,Cotton
37.46,66.33,49.74,Sandy,Pulses
33,70.78,53.38,Black,Maize
25.32,60.92,27.45,Loamy,Cotton
30.49,62.68,54.33,Red,Sugarcane
30.32,74.54,28.58,Loamy,Pulses
32,69.46,51.38,Black,Cotton
30.09,50.47,63.24,Sandy,Barley
32.55,61.3,70,Clayey,Tobacco
29.27,44.77,37.58,Sandy,Maize
28.93,67.15,49.11,Loamy,Pulses
27.16,59.89,53.85,Black,Millets
33.73,70.72,33.03,Red,Maize
39.43,54.27,49.34,Sandy,Maize
26.07,69.48,54.33,Clayey,Oil seeds
32.35,60.72,43.59,Red,Millets
34.2,76.61,35.31,Sandy,Sugarcane
34.55,55.64,37.76,Sandy,Barley
20.22,58.88,39.39,Sandy,Sugarcane
33.17,52.85,22.87,Sandy,Cotton
37.79,67,32.71,Sandy,Paddy
27.98,60.54,46.23,Sandy,Maize
27.24,51.2,39.43,Sandy,Millets
34.9,57.7,66.08,Red,Wheat
31.77,61.86,29.83,Loamy,Millets
27.38,63.54,38.63,Loamy,Ground Nuts
30.85,61.14,54.1,Red,Sugarcane
34.43,53.83,67.15,Clayey,Maize
32.02,55.71,67.83,Clayey,Maize
30.87,48.15,28.62,Loamy,Oil seeds
30.34,65.67,31.36,Sandy,Barley
39.88,61.95,47.99,Black,Ground Nuts
25.91,49.54,54.66,Loamy,Oil seeds
26.43,46.63,42.08,Sandy,Maize
30.48,65.53,69.54,Black,Oil seeds
36.97,55.81,41.5,Clayey,Ground Nuts
27.63,60.94,44.64,Red,Paddy
24.24,45.83,31.62,Clayey,Paddy
36.09,59.96,40.07,Red,Wheat
29.1,73.96,55.31,Clayey,Oil seeds
31.11,59.97,37.7,Red,Tobacco
22.24,53.86,57.32,Red,Ground Nuts
