Temparature,Humidity,Moisture,Soil Type,Crop Type
27.14,59.37,28.55,Loamy,Tobacco
28.41,61.6,40.29,Clayey,Oil seeds
29.49,66.27,41.53,Sandy,Millets
40,64.45,56.16,Sandy,Paddy
30.23,54.69,65.94,Clayey,Millets
27.75,53.82,39.79,Sandy,Tobacco
33.72,63.4,33.83,Black,Wheat
32.25,56.33,41.25,Clayey,Cotton
30.92,61.79,43.07,Clayey,Oil seeds
30.17,62.48,30.31,Clayey,Ground Nuts
21.82,52.68,30.79,Red,Oil seeds
25.88,63.35,70,Black,Tobacco
27.95,67.23,46.01,Sandy,Cotton
32.02,57.6,52.26,Black,Millets
31.91,46.77,42.39,Sandy,Tobacco
25.96,48.42,38.06,Black,Wheat
38.05,77.16,42.34,Clayey,Paddy
28.92,59.44,57.18,Loamy,Barley
26.17,51.49,20.6,Red,Sugarcane
25.25,64.81,47.16,Clayey,Pulses
35.72,63.95,56.88,Black,Barley
33.04,65.19,50.69,Sandy,Maize
26.49,56.63,42.97,Black,Oil seeds
23.26,52.39,43.65,Clayey,Tobacco
37.23,70.55,31.71,Loamy,Cotton
33.24,63.1,37.34,Sandy,Ground Nuts
28.63,51.26,41.71,Loamy,Maize
34.46,52.14,68.6,Clayey,Wheat
27.37,53.95,42.58,Red,Maize
30.81,58.48,41.17,Clayey,Tobacco
30.94,55.34,55.13,Black,Barley
31.5,66.45,61.75,Sandy,Paddy
33.73,51.23,29.59,Red,Pulses
25.06,58.7,42.9,Sandy,Ground Nuts
26.01,59.51,30.26,Loamy,Paddy
29.68,66.64,52.87,Clayey,Maize
31.57,67.5,47.83,Red,Millets
35.81,62.93,39.2,Black,Oil seeds
35.73,66.71,33.31,Sandy,Barley
22.05,60.6,39.49,Loamy,Barley
33.07,56.67,54.06,Sandy,Ground Nuts
31.84,59.38,45.32,Clayey,Tobacco
23.15,45.26,35.54,Red,Pulses
24.58,62.8,66.11,Red,Sugarcane
36.94,59.73,52.98,Clayey,Paddy
35.54,60.01,48.23,Sandy,Pulses
32.86,61.27,49.02,Loamy,Tobacco
28.01,52.18,34.37,Sandy,Ground Nuts
32.68,54.45,37.7,Sandy,Tobacco
25.12,53.46,25.03,Black,Tobacco
35.29,58.77,57.56,Loamy,Oil seeds
31.49,66.15,41.32,Sandy,Oil seeds
32.47,66.84,39.56,Red,Pulses
23.21,48.43,30.35,Loamy,Pulses
25.28,67.21,40.42,Clayey,Millets
32.73,63.31,57.72,Loamy,Wheat
32.43,67.82,51.52,Clayey,Tobacco
30.73,71.62,36.35,Black,Wheat
30.75,56.09,51.19,Sandy,Cotton
37.38,63.08,42.58,Sandy,Barley
23.56,50.55,43.22,Red,Cotton
34.73,57.31,52.2,Sandy,Millets
36.1,63.8,38.39,Red,Maize
38.4,70.12,44.15,Red,Paddy
29.8,66.92,55.34,Clayey,Wheat
35.73,63.26,50.02,Red,Cotton
33.02,55.73,60.55,Sandy,Maize
29.68,65.45,68.73,Black,Paddy
30.16,47.07,29.44,Clayey,Ground Nuts
25.93,48.16,64.92,Loamy,Cotton
34.66,55.05,59.87,Red,Oil seeds
35.52,59.79,33.11,Red,Tobacco
32.83,63.93,34.94,Sandy,Maize
38.7,76.26,57,Sandy,Sugarcane
37.05,73.86,31.98,Black,Millets
27.22,49.22,52.2,Red,Cotton
37.44,65.48,63.18,Red,Millets
39,77.37,43.11,Red,Oil seeds
22.98,47.12,45.24,Black,Millets
35.47,65.11,44.62,Sandy,Oil seeds
40,75.94,27.02,Red,Oil seeds
32.48,57.15,47.72,Loamy,Oil seeds
27.08,53.24,47.64,Loamy,Barley
30.4,56.1,55.02,Loamy,Wheat
35.38,64.71,38.74,Loamy,Paddy
34.63,64,53.06,Red,Cotton
34.77,61.67,59.77,Clayey,Barley
34.38,57.6,52.94,Clayey,Barley
36.78,74.99,46.32,Black,Ground Nuts
31.68,60.87,25.77,Red,Millets
27.74,52.16,28.11,Clayey,Pulses
29.46,66.27,38.77,Sandy,Barley
30.7,59.76,39.31,Sandy,Tobacco
25.62,54.23,41.6,Red,Sugarcane
35.51,62.48,43.95,Red,Oil seeds
36.52,53.74,43.45,Clayey,Ground Nuts
32.85,50.77,44,Sandy,Oil seeds
33.54,50.61,56.46,Black,Paddy
37.67,74.24,42.28,Red,Tobacco
31.12,49.68,47.94,Loamy,Sugarcane
38.34,57.32,38.09,Clayey,Sugarcane
39.41,69.09,40.35,Loamy,Cotton
28.84,59.87,28.08,Clayey,Oil seeds
26.92,46.79,31.62,Red,Millets
32.42,61.47,38.76,Black,Cotton
30.47,54.41,29.6,Black,Wheat
37.6,58.72,21.63,Sandy,Barley
31.24,72.13,48.81,Clayey,Wheat
32.33,55.31,47.97,Sandy,Maize
30.03,64.18,49.35,Black,Millets
32.93,53.71,31,Clayey,Tobacco
24.52,56.92,52.98,Loamy,Paddy
40,73.3,27.24,Black,Pulses
27.3,58.11,36.28,Black,Paddy
30.99,59.11,24.93,Red,Paddy
31.32,51.5,37.24,Sandy,Millets
26.93,60.8,53.51,Red,Pulses
30.43,50.53,39.32,Black,Maize
33.46,55.92,47.57,Black,Ground Nuts
27.6,63.87,38.04,Black,Oil seeds
31.3,62.39,42.41,Black,Tobacco
28.53,50.65,49.69,Black,Millets
35.85,71,37.57,Red,Millets
35.98,70.52,33.59,Sandy,Ground Nuts
30.51,55.65,37.31,Clayey,Barley
30.17,60.47,32.13,Clayey,Maize
33.08,73.39,45.19,Black,Oil seeds
29.3,58.88,50.39,Loamy,Sugarcane
20.34,48.15,42.35,Red,Millets
26.22,48.44,52.01,Red,Paddy
37.85,71.37,60.91,Red,Barley
33.77,69.64,40.51,Red,Oil seeds
31.36,55.67,41.78,Black,Millets
31.61,72.2,23.07,Red,Pulses
23.07,47.07,38.29,Sandy,Cotton
34.44,59.55,55.47,Black,Tobacco
24.54,49.35,57.77,Red,Barley
21.33,49.11,41.38,Clayey,Tobacco
24.18,61.7,52.14,Sandy,Barley
25.59,52.32,38.18,Black,Pulses
37.61,59.21,38.16,Sandy,Wheat
33.21,50.19,41.78,Black,Ground Nuts
34.64,70.76,23.74,Clayey,Millets
25.02,54.12,31.81,Sandy,Wheat
25.95,54.26,48.46,Red,Barley
25.82,44.19,69.01,Clayey,Maize
27.03,52.2,44.35,Clayey,Maize
27.05,43.07,25.9,Sandy,Millets
29.42,68,27.65,Sandy,Sugarcane
30.26,62.97,59.02,Loamy,Sugarcane
26.05,58.44,44.87,Clayey,Oil seeds
27.85,61.62,28.3,Loamy,Paddy
23.5,49.68,31.29,Black,Maize
38.04,68.81,65.02,Clayey,Cotton
30.44,56.07,54.61,Sandy,Tobacco
30.75,52.39,38.96,Sandy,Pulses
31.1,60.84,40.17,Clayey,Pulses
30.17,53.45,51.01,Black,Maize
34.51,58.59,67.96,Red,Tobacco
25.41,57.63,63.48,Red,Paddy
24.85,58.23,20,Clayey,Sugarcane
23.44,56.26,55.04,Loamy,Paddy
26.05,60.98,50.96,Black,Barley
31.44,68.47,53.03,Clayey,Wheat
29.54,60.54,46.5,Black,Cotton
34.16,59.81,60.87,Clayey,Pulses
30.6,58.23,53.69,Loamy,Millets
29.93,43.29,48.86,Black,Barley
28.89,66.42,61.74,Red,Wheat
32.61,60.48,27.75,Loamy,Pulses
35.03,70.21,37.03,Loamy,Ground Nuts
33.96,75.43,62.88,Red,Wheat
28.75,65.49,48.78,Black,Millets
31.4,66.88,51.44,Black,Pulses
31.45,66.67,69.18,Clayey,Pulses
22.68,61.46,42.62,Loamy,Pulses
33.84,60.21,41.86,Loamy,Cotton
38.28,68.8,45.67,Clayey,Cotton
28.09,63.83,24.31,Clayey,Tobacco
35.6,73.58,37.94,Sandy,Barley
33.49,68.43,31.16,Red,Sugarcane
31.19,58.58,64.38,Black,Wheat
29.51,56.71,43.38,Clayey,Cotton
25.12,63.88,55.6,Red,Paddy
32.53,58.37,39.02,Sandy,Maize
36.31,57.23,60.02,Sandy,Wheat
25.23,55.97,62.08,Red,Millets
27.38,62.54,70,Black,Ground Nuts
29.02,47.24,42.83,Loamy,Wheat
26.62,62.07,54.61,Black,Cotton
28.1,67.83,28.1,Sandy,Ground Nuts
25.12,42.78,50.96,Loamy,Oil seeds
25.41,54.6,67.69,Loamy,Pulses
27.9,46.88,39.77,Black,Barley
33.78,62.92,50.96,Loamy,Wheat
21.57,52.34,32.89,Red,Sugarcane
31.18,55.09,52.03,Clayey,Oil seeds
29.71,52.56,42.93,Red,Cotton
22.59,47.12,34.78,Black,Ground Nuts
25.87,44.22,38.29,Red,Maize
22.4,49.31,34.05,Black,Cotton
27.73,59.28,49.49,Black,Wheat
36.68,60.6,31.3,Red,Oil seeds
22.12,53.06,40.13,Loamy,Pulses
24.96,51.91,53.37,Loamy,Millets
30.09,65.32,32.53,Sandy,Ground Nuts
32.69,53.61,28.97,Loamy,Ground Nuts
31.35,56.17,45.42,Clayey,Barley
35.47,68.72,41.38,Sandy,Ground Nuts
31.98,60.89,49.49,Clayey,Pulses
40,79.17,31.45,Clayey,Millets
23.92,57.89,54.22,Loamy,Pulses
36.24,66.36,48.77,Loamy,Oil seeds
32.54,71.53,51.69,Loamy,Tobacco
25.15,57.65,58.66,Clayey,Sugarcane
22.94,46.81,28.94,Red,Oil seeds
25.82,59.76,35.34,Loamy,Paddy
32.71,63.88,37.18,Red,Cotton
36.75,66.48,55.62,Red,Tobacco
30.21,58.61,33.56,Sandy,Tobacco
22.1,58.03,39.29,Black,Pulses
31.31,58.34,38.88,Loamy,Oil seeds
31.61,64.2,32.23,Loamy,Tobacco
26.41,63.86,29.03,Loamy,Wheat
33.8,58.49,50.02,Red,Wheat
31.53,71.99,36.06,Black,Wheat
35.71,55.39,49.56,Black,Sugarcane
24.27,59.31,66.91,Sandy,Oil seeds
29.37,65.27,42.64,Red,Paddy
28.08,52.1,36.43,Red,Millets
33.79,68.09,43.83,Sandy,Maize
27.4,42.62,64.2,Red,Ground Nuts
33.99,48.08,50.86,Sandy,Sugarcane
30.03,69.45,36.59,Sandy,Cotton
30.72,52.17,46.14,Clayey,Maize
29.01,55.24,41.94,Black,Ground Nuts
30.07,65.17,41.29,Red,Sugarcane
26.27,55.86,36.93,Clayey,Ground Nuts
26.09,62.79,22.09,Clayey,Millets
36.44,73.6,38.38,Black,Wheat
25.12,66.38,22.29,Red,Millets
22.68,57.34,70,Sandy,Oil seeds
40,75.29,47.3,Black,Wheat
29.31,65.92,49.87,Sandy,Sugarcane
36.49,59.74,55.86,Red,Millets
23.03,42.54,37.14,Loamy,Cotton
25.29,58.68,47.03,Clayey,Maize
33.37,63.15,52.75,Clayey,Cotton
31.18,49.61,28.76,Sandy,Wheat
30.5,52.65,63.66,Red,Maize
26.03,65.26,38.25,Clayey,Barley
23.66,47.39,28.98,Red,Pulses
30.3,54.43,45.38,Clayey,Oil seeds
21.2,56.27,68.64,Sandy,Oil seeds
37.49,77.6,36.44,Clayey,Pulses
36.47,68.69,55.78,Clayey,Paddy
22.28,40.57,65.74,Black,Maize
27.63,45.29,45.88,Sandy,Maize
35.3,72.7,49.12,Black,Wheat
35.28,65.1,40.67,Red,Ground Nuts
26.57,60.91,47.87,Loamy,Oil seeds
30.44,57.3,35.77,Loamy,Barley
34.9,61.99,31.18,Red,Tobacco
31.02,58.1,37.46,Red,Paddy
25.06,44.32,54.22,Black,Tobacco
30.82,44.16,30.56,Red,Cotton
35.94,66.23,55.11,Red,Cotton
34.02,52.63,26.43,Clayey,Oil seeds
30.91,62.52,32.61,Black,Sugarcane
34.28,57.44,41.72,Loamy,Barley
30.51,62.57,26.45,Sandy,Oil seeds
25.3,57.41,43.63,Black,Oil seeds
32.45,50.4,49.3,Red,Pulses
32.81,60.28,33.66,Black,Ground Nuts
34.39,70.57,50.22,Red,Sugarcane
31.78,67.11,48.68,Black,Tobacco
35.36,60.71,43.64,Sandy,Maize
38.96,67.63,36.17,Loamy,Paddy
33.04,52.36,53.11,Red,Oil seeds
23.43,54.88,29.61,Black,Ground Nuts
27.39,58.97,34.28,Sandy,Oil seeds
29.72,63.99,28.27,Loamy,Millets
38.9,67.16,64.49,Sandy,Paddy
32.06,49.68,60.32,Sandy,Pulses
34.79,58.37,48.33,Clayey,Oil seeds
36.02,70.21,46.72,Red,Wheat
28.96,45.85,38.46,Red,Pulses
28.35,53.72,56.15,Black,Ground Nuts
33.86,68.65,22.84,Loamy,Wheat
36.59,67.13,61.03,Clayey,Wheat
33.72,67.04,60.71,Loamy,Pulses
28.19,58.68,38.45,Clayey,Pulses
28.97,47.91,47.29,Black,Millets
34.68,63.25,51.92,Sandy,Ground Nuts
31.26,53.46,60.24,Sandy,Maize
31.04,69.96,53.87,Sandy,Sugarcane
30.17,61.17,53.11,Black,Maize
26.88,52.66,37.94,Black,Cotton
28.91,55.03,35.94,Black,Barley
25.28,42.03,34.12,Loamy,Tobacco
32.71,55.63,37.14,Clayey,Oil seeds
34.07,61.51,36.87,Clayey,Sugarcane
30.74,55.94,48.96,Sandy,Cotton
26.4,59.16,66.66,Clayey,Wheat
31.02,66.2,60.1,Clayey,Maize
31.29,58.97,28.89,Black,Paddy
29.03,53.03,27.5,Black,Pulses
34.84,66.8,31.4,Sandy,Wheat
23.48,63.5,56.68,Loamy,Wheat
25.93,61.01,45.93,Loamy,Barley
34.53,67.09,29.68,Red,Pulses
27.43,58.71,58.37,Red,Paddy
23.96,50.84,54.62,Sandy,Tobacco
30.03,44.92,39.54,Red,Millets
26.19,59.96,28.29,Sandy,Barley
25.12,54.93,25.4,Loamy,Pulses
21.11,49.36,65.09,Black,Oil seeds
40,75.3,35.46,Loamy,Ground Nuts
24.85,59.37,45.95,Loamy,Oil seeds
32.99,63.72,50.3,Loamy,Pulses
23.66,48.48,70,Black,Wheat
35.16,53.95,31.14,Loamy,Maize
31.52,68.51,29.7,Clayey,Millets
28.49,50.47,70,Clayey,Sugarcane
40,64.71,57.07,Clayey,Pulses
33.54,66.83,39.59,Loamy,Oil seeds
28.07,61.55,53.65,Red,Millets
27.47,55.26,45.89,Sandy,Millets
25.52,45.73,48.04,Black,Paddy
31.99,67.57,54.82,Clayey,Ground Nuts
32.18,59.36,26.84,Clayey,Ground Nuts
24.2,49.32,38.13,Sandy,Maize
35.23,57.62,49.82,Clayey,Paddy
30.41,66.28,57.05,Black,Millets
30.33,66.06,44.53,Red,Maize
34.77,57.87,70,Red,Ground Nuts
36.47,56.72,31.13,Loamy,Tobacco
29.01,66.48,43.89,Sandy,Oil seeds
29.95,58.03,46.12,Loamy,Tobacco
36.26,65.71,67.99,Sandy,Tobacco
28.37,47.22,31.59,Sandy,Ground Nuts
33.42,61.58,56.87,Sandy,Maize
28.42,51.12,27.41,Loamy,Cotton
30.44,56.94,36.23,Loamy,Maize
32.65,62.07,47.91,Clayey,Wheat
40,77.83,40.75,Sandy,Tobacco
30.96,67.1,48.43,Loamy,Cotton
38.42,61.78,34.65,Loamy,Millets
30.14,57.67,49.19,Red,Barley
23.31,62.72,32.33,Clayey,Paddy
31.77,65.98,47.18,Sandy,Tobacco
33.42,67.09,45.04,Black,Wheat
28.97,42.16,45.5,Loamy,Tobacco
25.61,46.7,28.16,Loamy,Cotton
27.31,50.92,46.77,Sandy,Cotton
27.74,59.78,39.31,Black,Pulses
36.41,65.44,34.56,Red,Maize
24.11,43.34,38.58,Loamy,Maize
27.1,57.17,39.17,Red,Maize
25.68,50.02,55.22,Black,Millets
33.95,67.15,51.1,Sandy,Paddy
27.14,67.86,70,Clayey,Tobacco
37.39,61.21,53.57,Clayey,Barley
30.37,48.11,52.79,Sandy,Pulses
31.81,50.57,52.14,Sandy,Barley
31.86,65.87,48.75,Loamy,Sugarcane
24.71,56.84,68.61,Red,Ground Nuts
21.15,56.41,40.51,Red,Millets
33.21,64.6,57.98,Red,Sugarcane
29.8,61.21,33.62,Loamy,Sugarcane
25.31,65.68,54.26,Red,Pulses
31.94,61.2,41.82,Loamy,Ground Nuts
30.91,46.55,39.78,Black,Cotton
34.8,68.57,39.03,Sandy,Pulses
32.06,61.19,38.55,Black,Cotton
29.79,62.18,39.21,Sandy,Tobacco
34.38,64.34,40.91,Red,Millets
27.18,51.26,37.13,Sandy,Pulses
25.69,59.34,37.43,Red,Cotton
24.68,55.24,24.69,Loamy,Millets
26.89,60.79,58.5,Sandy,Oil seeds
34.2,66.08,42.67,Loamy,Maize
31.92,55.47,48.31,Red,Cotton
